bidderID;bidderrate;asin;bid;price
1777;181.0;0;500.0;1625.0
3379;7.0;0;600.0;1625.0
917;60.0;0;800.0;1625.0
534;5.0;0;1500.0;1625.0
534;5.0;0;1550.0;1625.0
1524;6.0;0;1600.0;1625.0
534;5.0;0;1625.0;1625.0
949;0.0;1;225.0;500.0
2276;33.0;1;500.0;500.0
222;58.0;2;300.0;740.0
11;3.0;2;305.0;740.0
669;30.0;2;450.0;740.0
104;5.0;2;450.0;740.0
104;5.0;2;500.0;740.0
11;3.0;2;505.78;740.0
11;3.0;2;551.0;740.0
2506;5.0;2;560.0;740.0
11;3.0;2;570.0;740.0
11;3.0;2;601.0;740.0
11;3.0;2;610.0;740.0
2506;5.0;2;635.0;740.0
2506;5.0;2;660.0;740.0
104;5.0;2;700.0;740.0
2506;5.0;2;730.0;740.0
104;5.0;2;740.0;740.0
1697;18.0;3;225.0;320.0
1697;18.0;3;250.0;320.0
1697;18.0;3;260.0;320.0
1697;18.0;3;270.0;320.0
1697;18.0;3;280.0;320.0
1697;18.0;3;290.0;320.0
1697;18.0;3;300.0;320.0
2982;82.0;3;310.0;320.0
1697;18.0;3;310.0;320.0
1697;18.0;3;315.0;320.0
2982;82.0;3;320.0;320.0
627;0.0;4;100.0;177.5
1764;2.0;4;120.0;177.5
1764;2.0;4;150.0;177.5
2729;0.0;4;175.0;177.5
1046;4.0;4;177.5;177.5
112;65.0;5;29.0;227.5
1532;1.0;5;30.0;227.5
2742;0.0;5;50.0;227.5
949;0.0;5;100.0;227.5
870;33.0;5;111.0;227.5
1989;43.0;5;119.51;227.5
1989;43.0;5;124.51;227.5
1989;43.0;5;129.51;227.5
551;5.0;5;200.0;227.5
1462;126.0;5;205.0;227.5
2506;5.0;5;205.0;227.5
2506;5.0;5;225.0;227.5
2283;777.0;5;227.5;227.5
2797;9.0;6;600.0;1725.0
1956;1.0;6;650.0;1725.0
1144;21.0;6;670.0;1725.0
2797;9.0;6;800.0;1725.0
2871;0.0;6;840.0;1725.0
2697;71.0;6;900.0;1725.0
838;0.0;6;1000.0;1725.0
838;0.0;6;1100.0;1725.0
1856;11.0;6;1200.0;1725.0
2330;6.0;6;1500.0;1725.0
1885;0.0;6;1700.0;1725.0
900;4.0;6;1725.0;1725.0
2761;3.0;7;250.0;255.0
656;6.0;7;255.0;255.0
99;0.0;8;30.0;374.99
99;0.0;8;50.0;374.99
99;0.0;8;55.0;374.99
99;0.0;8;60.0;374.99
1440;5.0;8;100.0;374.99
2295;11.0;8;100.0;374.99
2295;11.0;8;150.0;374.99
879;10.0;8;150.0;374.99
2295;11.0;8;160.0;374.99
2295;11.0;8;175.0;374.99
879;10.0;8;180.0;374.99
2698;24.0;8;180.0;374.99
879;10.0;8;200.0;374.99
1820;5.0;8;205.0;374.99
1820;5.0;8;210.0;374.99
1820;5.0;8;215.0;374.99
1820;5.0;8;220.0;374.99
1820;5.0;8;225.0;374.99
1820;5.0;8;230.0;374.99
1820;5.0;8;235.0;374.99
1820;5.0;8;240.0;374.99
1820;5.0;8;250.0;374.99
1810;23.0;8;257.55;374.99
1820;5.0;8;270.0;374.99
1755;40.0;8;300.0;374.99
1820;5.0;8;350.0;374.99
525;8.0;8;374.99;374.99
1338;45.0;9;5.0;185.0
3070;24.0;9;15.5;185.0
1338;45.0;9;100.0;185.0
1338;45.0;9;111.0;185.0
1338;45.0;9;145.0;185.0
1311;152.0;9;150.0;185.0
1338;45.0;9;170.0;185.0
1338;45.0;9;185.0;185.0
488;28.0;10;157.5;501.62
112;65.0;10;161.0;501.62
2662;0.0;10;166.0;501.62
2122;3.0;10;200.0;501.62
1142;0.0;10;201.0;501.62
949;0.0;10;210.0;501.62
949;0.0;10;225.0;501.62
2122;3.0;10;250.0;501.62
3291;127.0;10;251.0;501.62
949;0.0;10;260.0;501.62
42;5.0;10;270.0;501.62
42;5.0;10;281.0;501.62
42;5.0;10;291.0;501.62
42;5.0;10;301.0;501.62
42;5.0;10;311.0;501.62
42;5.0;10;321.0;501.62
853;45.0;10;331.0;501.62
2595;0.0;10;350.0;501.62
2595;0.0;10;375.0;501.62
1856;11.0;10;401.0;501.62
796;10.0;10;450.0;501.62
219;36.0;10;475.5;501.62
1889;27.0;10;501.0;501.62
2572;25.0;10;501.62;501.62
1274;38.0;11;6.0;256.51
2723;1.0;11;25.0;256.51
691;14.0;11;30.0;256.51
691;14.0;11;45.0;256.51
691;14.0;11;50.0;256.51
1721;29.0;11;76.56;256.51
2726;46.0;11;90.0;256.51
2726;46.0;11;92.5;256.51
2726;46.0;11;97.5;256.51
